=== Compile JDBC executor ===
=== Execute SQL (testOnly=False) ===
[ROWS] SELECT COLUMN_NAME, DATA_TYPE FROM USER_TAB_COLUMNS WHERE TA
COLUMN_NAME | DATA_TYPE
ID | NUMBER
MSG_ID | VARCHAR2
MEMBER_ID | VARCHAR2
LEGAL_NO | VARCHAR2
HEAD_BRCH_CODE | VARCHAR2
TRANS_CREDIT_TYPE | VARCHAR2
BUSI_TYPE | VARCHAR2
TRADE_TYPE | VARCHAR2
APPL_BRCH_CODE | VARCHAR2
VALID_FLAG | VARCHAR2
TRANS_BRCH_TYPES | VARCHAR2
CREDIT_RELATION_MODEL | VARCHAR2
PRE_VALID_FLAG | VARCHAR2
PRE_STATUS | VARCHAR2
STATUS | VARCHAR2
MEMBER_NAME | VARCHAR2
HEAD_BRCH_NAME | VARCHAR2
APPL_BRCH_NAME | VARCHAR2
PRE_TRANS_BRCH_TYPES | VARCHAR2
FLAG | VARCHAR2
ERROR_MSG | VARCHAR2
CREATE_TIME | NUMBER
UPDATE_TIME | NUMBER
RESERVE1 | VARCHAR2
RESERVE2 | VARCHAR2
RESERVE3 | VARCHAR2
  total=26+
[ROWS] SELECT COLUMN_NAME, DATA_TYPE FROM USER_TAB_COLUMNS WHERE TA
COLUMN_NAME | DATA_TYPE
ID | NUMBER
BATCH_NO | VARCHAR2
APPL_ACCT_NO | VARCHAR2
LEGAL_NO | VARCHAR2
BRCH_NO | VARCHAR2
DISC_PROTOCAL_NO | VARCHAR2
BILL_TYPE | VARCHAR2
DISC_MODE | VARCHAR2
DISC_DT | NUMBER
STATUS | VARCHAR2
RATE | NUMBER
IS_REACCEPTANCE | CHAR
CREDIT_SCORE | VARCHAR2
CORP_NAME | VARCHAR2
CORP_CODE | VARCHAR2
TEL_NO | VARCHAR2
CORP_ADDRESS | VARCHAR2
CORP_TYPE | VARCHAR2
CREATE_TIME | NUMBER
UPDATE_TIME | NUMBER
RESERVE1 | VARCHAR2
RESERVE2 | VARCHAR2
RESERVE3 | VARCHAR2
  total=23+
[ROWS] SELECT COLUMN_NAME, DATA_TYPE FROM USER_TAB_COLUMNS WHERE TA
COLUMN_NAME | DATA_TYPE
ID | NUMBER
BATCH_ID | NUMBER
APPL_ACCT_NO | VARCHAR2
LEGAL_NO | VARCHAR2
DISC_PROTOCAL_NO | VARCHAR2
BILL_TYPE | VARCHAR2
DISC_MODE | VARCHAR2
BILL_ID | NUMBER
BILL_RANGE_START | NUMBER
BILL_RANGE_END | NUMBER
FLOW_NO | VARCHAR2
BILL_NO | VARCHAR2
DISC_TYPE | VARCHAR2
DISC_DT | NUMBER
REDEEM_OPEN_DT | NUMBER
REDEEM_END_DT | NUMBER
REDEEM_RATE | NUMBER
DISC_IN_BANK_NAME | VARCHAR2
DISC_IN_BANK_NO | VARCHAR2
DISC_IN_ACCT_NO | VARCHAR2
AO_ACCT_NO | VARCHAR2
AO_ACCT_BANK_NO | VARCHAR2
BAN_ENDRSMT_MARK | VARCHAR2
STATUS | VARCHAR2
BUSI_ID | NUMBER
REMIT_DT | NUMBER
DUE_DT | NUMBER
BILL_MONEY | NUMBER
STD_AMT | NUMBER
RATE | NUMBER
INTEREST | NUMBER
BRCH_NO | VARCHAR2
CUST_MGR_NO | VARCHAR2
ENQUIRY_TM | NUMBER
CREATE_TIME | NUMBER
UPDATE_TIME | NUMBER
RESERVE1 | VARCHAR2
RESERVE2 | VARCHAR2
RESERVE3 | VARCHAR2
  total=39+
DONE success[3] fail[0]
